classification	lines	sha256	path
FALSE_POSITIVE	18	0543b76ff307ae2ff39e31b547e2ed7cb677084efed75665e3e33bdf5be6a9f9	evidence/HUMAN_INTERFACE_LANGUAGE_FORMS_TERM_DISTRIBUTION.tsv
DERIVED_ANALYSIS	68	7ee6c8040ca2927ee2d5cb3a5b354dfb1f2290beb9cd9bef142e4df02f297ade	inventory/initialization/20260804_075615_ingester_recovery/reports/ARTIFACT_SCHEMA_ANALYSIS.txt
DERIVED_ANALYSIS	59	6e81c24baa43fff015ed8982b8d78b44b3714a4ceacd14d59510da34613fb3b6	inventory/initialization/20260804_075615_ingester_recovery/reports/ASSET_SCHEMA_ANALYSIS.txt
DERIVED_ANALYSIS	104	91780e26372a642c7ff48370fb25809894c1b4fa6fd759ea89cc0a789f8c2e89	inventory/initialization/20260804_075615_ingester_recovery/reports/OUTPUT_PACKAGE_INSPECTION.txt
RECOVERED_PRIMARY_SPECIFICATION	209	810afef8fc496cd837caaded4efcd09201ad27880b798950c31b1c8302c42d6d	workspace/operational/ingestion/output/ING-20260804-0005/source/Artifact_Lifecycle_Specification_v0.1.md
RECOVERED_PRIMARY_SPECIFICATION	230	3dfde42a66a991a398e00f9796ecbf90424aa5a198602663d96e83804ea57a54	workspace/operational/ingestion/output/ING-20260804-0006/source/Artifact_Schema_v0.1.md
RECOVERED_PRIMARY_SPECIFICATION	160	123ca1c3250dc7f6563992da4d95cec8d8adf199aa179f1fc9e1c5de914053e6	workspace/operational/ingestion/output/ING-20260804-0007/source/Asset_Schema_v0.1.md
RECOVERED_PRIMARY_SPECIFICATION	159	4084be32105c7ec72e0729a6fbd4e8c5c9879b62990a794906b1a5e77bff8205	workspace/operational/ingestion/output/ING-20260804-0026/source/Output_Package_Specificatiom_v0.1.md
RECOVERED_PRIMARY_SPECIFICATION	304	785a23af3af1a5a2697e9f553299361a4340f981c8c7f888e00340fbe2b91635	workspace/operational/ingestion/output/ING-20260804-0059/source/Workflow_Service_Capability_Specification_v0.1.md
