sha256	qualified	messages	user	assistant	path
7d3082ac903843a804be700ff7d0cd11c2f9b0a189c8ffe77011d3380ec136b0	true	9	5	4	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/ADE_Workflow_Automation_Prompts.json
d09d6768687cc892dff4f2ddedb45434f83897da31b0c933e9fa86fb9e0ff3b3	true	30	20	10	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Custom_GPT_Design_Process.json
a1eade1a46e4f1af06d265c69bfd4b5c667179502326f1f97aa68e2274dc7eb0	true	158	53	105	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Difference_Engine_2.json
773a4f2475c5a271bd5ccc7f1e5df1e559d204e7cd0dd53c375b4b0226a70ab2	true	162	102	60	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Forensic_Parser_Workflow_full_chat.json
b13a2c1574432d34caacdcc9359a50ad5e9e42ab81eb01a105f1417b18e8a1dc	true	55	28	27	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Handbook_Project_Organization.json
3046b3927cbfba704db10596a8bbd7b410528e16ad2d0216a29f377d11f875cf	true	41	21	20	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Inference_and_Linguistic_Models.json
8526f7a2573eccb394e70111edc6381366c1cf513ee41da64b786b50c815ec62	true	19	14	5	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Research_Branch_Workflow-2.json
