sha256	qualified	kind	turns	speakers	path
bb6d828f8dfa729e31b0135fa81e6803ba571d60972d79e4a288f2beadac94dc	true	conversation	100	assistant,user	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/.trashed-1788540473-Branch_I___Head_Steward___Cat_Wrangler___Differenc.md.txt
b7122b68899e23016d7bfc52338127bea545a76c6e39c4b0128d6da3aa5d06b3	true	conversation	100	assistant,user	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Branch I - Head Steward -  Cat Wrangler - Difference Engine.md
e1f57e0c6f2017852a177418718bead00c6d3cd83289f3a6b719cf8006747c05	true	conversation	171	assistant,user	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Construction_Kernel_Load_and_Implementation.md.txt
07f8c7ee462b266379c52675542872e1cbb0a75c71916fbd13a24d3996bf5050	true	conversation	51	assistant,user	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Construction_Research_and_Analysis.md.txt
634d2c14dba7bceb69d6f6fb5dacf9b3fcc6b263cca5428408ef4b2d5399a017	true	conversation	337	assistant,system,user	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Difference_Engine____Branch_III____Integration.md(1).txt
34026bfc2954e1d2fbc2cace6cd41f6090811135b93d78d273d43476752350dd	true	conversation	34	assistant,user	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Integration_Status_Update.md.txt
036e839af04cc0ebbaaaed19551f768e29f23fcc75ab95ebbd85400868e88bda	false	markdown	0		/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/anarchogre-ade-working-repository--8a5edab282632443.txt
