sha256	qualified_export	chat_id	text_chars	path
5464a52d4bf01645069b56c39ebef88a073ed7d1c1200ea813ee6b21975e00b7	true	6a69710c-5c1c-83ea-9e89-588a79de956b	110330	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Branch Management Assistance.pdf
ca1e559ab43f8e824f167dd6ae6612757da65f8b5d4941e7cb0c742d73104c11	true	6a6c76a3-5fb0-83ea-bb21-842dbf8ab82a	30247	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Categorization of Governance Elements.pdf
daed3c175e4c8d46fb51e9f2124c852c2813549455dfef5f519dfc6504aff52c	true	6a69710c-5c1c-83ea-9e89-588a79de956b	212746	/home/reckless-ideator/phone-evacuation/moto-g-power-2021/internal-shared-storage/Download/Difference __ Engine __ Head Steward __ Cat Wrangler.pdf
